gene_id,xen_pep_id,xen_gene_symbol,xen_description
PECUL23A000419,ENSXETP00000108360,dhcr7,7-dehydrocholesterol reductase [Source:Xenbase;Acc:XB-GENE-920362]
PECUL23A000420,ENSXETP00000020342,XB5876791 [provisional:olfr1019],provisional ortholog of olfactory receptor 1019 [Source:Xenbase;Acc:XB-GENE-5876792]
PECUL23A000421,ENSXETP00000013836,comt.2,catechol-O-methyltransferase 2 [Source:Xenbase;Acc:XB-GENE-5865481]
PECUL23A000423,ENSXETP00000110873,,
PECUL23A000426,ENSXETP00000079894,rprd1b,regulation of nuclear pre-mRNA domain containing 1B [Source:Xenbase;Acc:XB-GENE-949983]
PECUL23A000428,ENSXETP00000030283,wif1,WNT inhibitory factor 1 [Source:Xenbase;Acc:XB-GENE-486515]
PECUL23A000435,ENSXETP00000013251,park7,parkinson protein 7 [Source:Xenbase;Acc:XB-GENE-1005316]
PECUL23A000436,ENSXETP00000014297,XB5814630 [provisional:inmt],"glyoxylate reductase/hydroxypyruvate reductase, 1 [Source:Xenbase;Acc:XB-GENE-953408]"
PECUL23A000438,ENSXETP00000033811,fbl,fibrillarin [Source:Xenbase;Acc:XB-GENE-970225]
PECUL23A000439,ENSXETP00000110873,,
PECUL23A000440,ENSXETP00000039553,opa3,"optic atrophy 3 (autosomal recessive, with chorea and spastic paraplegia) [Source:Xenbase;Acc:XB-GENE-941637]"
PECUL23A000441,ENSXETP00000115266,pex5l,peroxisomal biosis factor 5-like [Source:Xenbase;Acc:XB-GENE-980178]
PECUL23A000446,ENSXETP00000115735,clasrp,CLK4-associating serine/arginine rich protein [Source:Xenbase;Acc:XB-GENE-6458768]
PECUL23A000448,ENSXETP00000097755,prmt9,protein arginine methyltransferase 9 [Source:Xenbase;Acc:XB-GENE-5998444]
PECUL23A000449,ENSXETP00000055344,brcc3,BRCA1/BRCA2-containing complex subunit 3 [Source:Xenbase;Acc:XB-GENE-5812885]
PECUL23A000450,ENSXETP00000060138,XB6001422 [provisional],putative protein FAM172B [Source:Xenbase;Acc:XB-GENE-6001423]
PECUL23A000452,ENSXETP00000007829,wdr90,WD repeat domain 90 [Source:Xenbase;Acc:XB-GENE-5825492]
PECUL23A000464,ENSXETP00000064368;ENSXETP00000094636,ezh2,enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:Xenbase;Acc:XB-GENE-956215]
PECUL23A000468,ENSXETP00000115816,ercc1,excision repair cross-complementation group 1 [Source:Xenbase;Acc:XB-GENE-5895462]
PECUL23A000470,ENSXETP00000062095,,
PECUL23A000479,ENSXETP00000029310;ENSXETP00000096190,impg2,interphotoreceptor matrix proteoglycan 2 [Source:Xenbase;Acc:XB-GENE-983982]
PECUL23A000480,ENSXETP00000103924,ddx31,DEAD-box helicase 31 [Source:Xenbase;Acc:XB-GENE-5831374]
PECUL23A000483,ENSXETP00000058679,mid1,midline 1 [Source:Xenbase;Acc:XB-GENE-494584]
PECUL23A000484,ENSXETP00000103225,prss23,serine protease 23 [Source:Xenbase;Acc:XB-GENE-944616]
PECUL23A000485,ENSXETP00000017035,kntc1,kinetochore associated 1 [Source:Xenbase;Acc:XB-GENE-1011946]
PECUL23A000486,ENSXETP00000116647,adap1,ArfGAP with dual PH domains 1 [Source:Xenbase;Acc:XB-GENE-5947997]
PECUL23A000492,ENSXETP00000096784,,
PECUL23A000493,ENSXETP00000034397,tcirg1,"T cell immune regulator 1, ATPase H+ transporting V0 subunit a3 [Source:Xenbase;Acc:XB-GENE-5721917]"
PECUL23A000494,ENSXETP00000060793,,
PECUL23A000495,ENSXETP00000077800,kif19,kinesin family member 19 [Source:Xenbase;Acc:XB-GENE-5954822]
PECUL23A000497,ENSXETP00000106668,,
PECUL23A000499,ENSXETP00000048213,slc43a2,"solute carrier family 43 (amino acid system L transporter), member 2 [Source:Xenbase;Acc:XB-GENE-987892]"
PECUL23A000504,ENSXETP00000085983;ENSXETP00000013046,gpx8;gpx1,glutathione peroxidase 8 (putative) [Source:Xenbase;Acc:XB-GENE-6257701];glutathione peroxidase 1 [Source:NCBI gene (formerly Entrezgene);Acc:548457]
PECUL23A000507,ENSXETP00000082426,SCFD2,sec1 family domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30676]
PECUL23A000512,ENSXETP00000115489,rybp,RING1 and YY1 binding protein [Source:Xenbase;Acc:XB-GENE-992066]
PECUL23A000513,ENSXETP00000119071,,
PECUL23A000515,ENSXETP00000118983,,
PECUL23A000520,ENSXETP00000099996,cap2,cyclase associated actin cytoskeleton regulatory protein 2 [Source:Xenbase;Acc:XB-GENE-982188]
PECUL23A000522,ENSXETP00000003346,,
PECUL23A000524,ENSXETP00000039153,cfap91,cilia and flagella associated protein 91 [Source:Xenbase;Acc:XB-GENE-995086]
PECUL23A000526,ENSXETP00000061674;ENSXETP00000111042,stx6,syntaxin 6 [Source:Xenbase;Acc:XB-GENE-1015934]
PECUL23A000527,ENSXETP00000030372,slc23a3,solute carrier family 23 member 3 [Source:Xenbase;Acc:XB-GENE-984311]
PECUL23A000528,ENSXETP00000018710,memo1,mediator of cell motility 1 [Source:Xenbase;Acc:XB-GENE-5777366]
PECUL23A000529,ENSXETP00000117819,npbwr1,neuropeptides B/W receptor 1 [Source:Xenbase;Acc:XB-GENE-984596]
PECUL23A000530,ENSXETP00000102110,,
PECUL23A000532,ENSXETP00000021288,tfap2e,transcription factor AP-2 epsilon [Source:Xenbase;Acc:XB-GENE-876803]
PECUL23A000533,ENSXETP00000107903,srsf6,serine/arginine-rich splicing factor 6 [Source:Xenbase;Acc:XB-GENE-488901]
PECUL23A000536,ENSXETP00000112319,dennd2a,DENN/MADD domain containing 2A [Source:Xenbase;Acc:XB-GENE-995765]
PECUL23A000538,ENSXETP00000071357,cacna1i,"calcium channel, voltage-dependent, T type, alpha 1I subunit [Source:Xenbase;Acc:XB-GENE-983863]"
PECUL23A000540,ENSXETP00000080748,slc23a1,solute carrier family 23 member 1 [Source:Xenbase;Acc:XB-GENE-960242]
PECUL23A000547,ENSXETP00000001532,zdhhc2,zinc finger DHHC-type containing 2 [Source:Xenbase;Acc:XB-GENE-947256]
PECUL23A000553,ENSXETP00000013657,os9,"osteosarcoma amplified 9, endoplasmic reticulum lectin [Source:Xenbase;Acc:XB-GENE-5952460]"
PECUL23A000555,ENSXETP00000085078,ptf1a,pancreas associated transcription factor 1a [Source:Xenbase;Acc:XB-GENE-484425]
PECUL23A000558,ENSXETP00000110008,tatdn2,TatD DNase domain containing 2 [Source:Xenbase;Acc:XB-GENE-1003934]
PECUL23A000561,ENSXETP00000084245,XB5907626 [provisional:fabp1],provisional ortholog of fatty acid binding protein 1 [Source:Xenbase;Acc:XB-GENE-5907627]
PECUL23A000562,ENSXETP00000035768,,
PECUL23A000564,ENSXETP00000021027,znf330,zinc finger protein 330 [Source:Xenbase;Acc:XB-GENE-1010548]
PECUL23A000565,ENSXETP00000033834,nsg2,neuronal vesicle trafficking associated 2 [Source:Xenbase;Acc:XB-GENE-944744]
PECUL23A000567,ENSXETP00000006450,AMMECR1L,AMMECR1 like [Source:HGNC Symbol;Acc:HGNC:28658]
PECUL23A000568,ENSXETP00000044973,zfp160,zinc finger protein 160 [Source:Xenbase;Acc:XB-GENE-5962136]
PECUL23A000569,ENSXETP00000108913,,
PECUL23A000570,ENSXETP00000103365,,
PECUL23A000571,ENSXETP00000071357,cacna1i,"calcium channel, voltage-dependent, T type, alpha 1I subunit [Source:Xenbase;Acc:XB-GENE-983863]"
PECUL23A000574,ENSXETP00000063111,insyn1,inhibitory synaptic factor 1 [Source:Xenbase;Acc:XB-GENE-5931898]
PECUL23A000576,ENSXETP00000103365,,
PECUL23A000578,ENSXETP00000114474,ceacam8,carcinoembryonic antigen-related cell adhesion molecule 8 [Source:Xenbase;Acc:XB-GENE-5920801]
PECUL23A000579,ENSXETP00000115735,clasrp,CLK4-associating serine/arginine rich protein [Source:Xenbase;Acc:XB-GENE-6458768]
PECUL23A000580,ENSXETP00000032475,hsd17b3,hydroxysteroid (17-beta) dehydrogenase 3 [Source:Xenbase;Acc:XB-GENE-986068]
PECUL23A000582,ENSXETP00000016072,azin2,antizyme inhibitor 2 [Source:Xenbase;Acc:XB-GENE-6454420]
PECUL23A000584,ENSXETP00000074005,ncoa4,nuclear receptor coactivator 4 [Source:Xenbase;Acc:XB-GENE-1008638]
PECUL23A000586,ENSXETP00000003946,itih2,inter-alpha-trypsin inhibitor heavy chain 2 [Source:Xenbase;Acc:XB-GENE-998635]
PECUL23A000594,ENSXETP00000104558,,
PECUL23A000595,ENSXETP00000104769,b2m,beta-2-microglobulin [Source:Xenbase;Acc:XB-GENE-922470]
PECUL23A000597,ENSXETP00000021498,cbln2,isocitrate dehydrogenase (NAD(+)) 3 alpha [Source:Xenbase;Acc:XB-GENE-943186]
PECUL23A000598,ENSXETP00000117233,,
PECUL23A000599,ENSXETP00000111426,abcb8,ATP binding cassette subfamily B member 8 [Source:Xenbase;Acc:XB-GENE-1010256]
PECUL23A000601,ENSXETP00000016336,,
PECUL23A000602,ENSXETP00000113418,tra2a,transformer 2 alpha homolog [Source:Xenbase;Acc:XB-GENE-492325]
